symbol,t,date,final_state,final_score,caps,weakest_lens,agreement_count,why_not_higher,regime,zone,location,extension,queue
META,1680,2024-09-06,Mixed,65,agree3,Agreement,5,capped by agree3 (<= 69),Range,Fresh,NearSupport,Stretched,borderline
KO,1740,2024-12-02,Mixed,65,agree3,Agreement,4,capped by agree3 (<= 69),Trend,Fresh,Upper,Normal,borderline
XOM,1720,2024-11-01,Mixed,65,agree3,Agreement,5,capped by agree3 (<= 69),Range,Fresh,NearResistance,Normal,borderline
JPM,260,2019-01-15,Mixed,69,agree3,Agreement,4,capped by agree3 (<= 69),Range,Fresh,Upper,Stretched,borderline
WMT,1920,2025-08-22,Mixed,65,agree3,Agreement,5,capped by agree3 (<= 69),Trend,Fresh,Lower,Normal,borderline
SPY,260,2019-01-15,Mixed,50,broken;agree3,Zone,5,capped by broken (<= 50),Trend,Broken,NearSupport,Stretched,caps_saved
SPY,280,2019-02-13,Mixed,50,broken;agree3,Zone,3,capped by broken (<= 50),Trend,Broken,Upper,Normal,caps_saved
SPY,300,2019-03-14,Unclear,44,broken;chop;extended;agree3,Chop/Regime,2,capped by chop (<= 44),Chop,Broken,NearResistance,Extended,caps_saved
SPY,320,2019-04-11,Mixed,50,broken;severe;agree3,Zone,4,capped by broken (<= 50),Trend,Broken,NearSupport,Severe,caps_saved
SPY,340,2019-05-10,Mixed,50,severe;weakzone;agree3,Extension,4,capped by severe (<= 50),Trend,Weak,NearSupport,Severe,caps_saved
SPY,360,2019-06-10,Unclear,44,broken;chop;extended;agree3,Chop/Regime,3,capped by chop (<= 44),Chop,Broken,NearSupport,Extended,caps_saved
SPY,380,2019-07-09,Unclear,44,chop;severe;weakzone;agree3,Chop/Regime,2,capped by chop (<= 44),Chop,Weak,Upper,Severe,caps_saved
SPY,400,2019-08-06,Mixed,50,broken;extended;agree3,Zone,4,capped by broken (<= 50),Trend,Broken,NearSupport,Extended,caps_saved
SPY,420,2019-09-04,Unclear,44,chop;extended;agree3,Chop/Regime,3,capped by chop (<= 44),Chop,Fresh,NearResistance,Extended,caps_saved
SPY,440,2019-10-02,Mixed,50,broken;agree3,Zone,3,capped by broken (<= 50),Range,Broken,Lower,Stretched,caps_saved
SPY,460,2019-10-30,Mixed,50,broken;severe;agree3,Zone,2,capped by broken (<= 50),Range,Broken,Upper,Severe,caps_saved
SPY,480,2019-11-27,Mixed,50,pricediscovery;severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Trend,Weak,Above,Severe,caps_saved
SPY,500,2019-12-27,Mixed,50,severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Trend,Weak,Upper,Severe,caps_saved
SPY,520,2020-01-28,Unclear,44,chop;midrange;severe;weakzone;agree3,Chop/Regime,3,capped by chop (<= 44),Chop,Weak,Mid,Severe,caps_saved
SPY,540,2020-02-26,Mixed,50,broken;extended;agree3,Zone,4,capped by broken (<= 50),Expansion,Broken,NearResistance,Normal,caps_saved
SPY,560,2020-03-25,Unclear,44,broken;chop;extended;agree3,Chop/Regime,1,capped by chop (<= 44),Chop,Broken,Lower,Extended,caps_saved
SPY,580,2020-04-23,Unclear,44,broken;chop;agree3,Chop/Regime,4,capped by chop (<= 44),Chop,Broken,NearSupport,Normal,caps_saved
SPY,600,2020-05-21,Unclear,44,broken;chop;agree3,Chop/Regime,4,capped by chop (<= 44),Chop,Broken,NearSupport,Normal,caps_saved
SPY,620,2020-06-19,Unclear,44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Chop,Broken,NearSupport,Normal,caps_saved
SPY,640,2020-07-20,Unclear,44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Chop,Broken,NearResistance,Severe,caps_saved
SPY,280,2019-02-13,Mixed,50,broken;agree3,Zone,3,capped by broken (<= 50),Trend,Broken,Upper,Normal,uncertain
SPY,440,2019-10-02,Mixed,50,broken;agree3,Zone,3,capped by broken (<= 50),Range,Broken,Lower,Stretched,uncertain
SPY,460,2019-10-30,Mixed,50,broken;severe;agree3,Zone,2,capped by broken (<= 50),Range,Broken,Upper,Severe,uncertain
SPY,480,2019-11-27,Mixed,50,pricediscovery;severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Trend,Weak,Above,Severe,uncertain
SPY,500,2019-12-27,Mixed,50,severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Trend,Weak,Upper,Severe,uncertain
SPY,700,2020-10-13,Mixed,50,broken;severe;agree3,Zone,2,capped by broken (<= 50),Trend,Broken,Upper,Severe,uncertain
SPY,820,2021-04-07,Mixed,50,severe;weakzone;agree3,Extension,2,capped by severe (<= 50),Range,Weak,Upper,Severe,uncertain
SPY,860,2021-06-03,Mixed,50,broken;severe;agree3,Zone,3,capped by broken (<= 50),Range,Broken,NearResistance,Severe,uncertain
SPY,880,2021-07-01,Mixed,50,pricediscovery;severe;agree3,Extension,3,capped by severe (<= 50),Range,Fresh,Above,Severe,uncertain
SPY,960,2021-10-25,Mixed,50,broken;pricediscovery;severe;agree3,Zone,2,capped by broken (<= 50),Trend,Broken,Above,Severe,uncertain
SPY,1420,2023-08-24,Mixed,50,broken;severe;agree3,Zone,3,capped by broken (<= 50),Trend,Broken,Lower,Severe,uncertain
SPY,1440,2023-09-22,Mixed,50,broken;extended;agree3,Zone,2,capped by broken (<= 50),Range,Broken,Lower,Extended,uncertain
SPY,1480,2023-11-17,Mixed,50,broken;severe;agree3,Zone,2,capped by broken (<= 50),Trend,Broken,Upper,Severe,uncertain
SPY,1500,2023-12-18,Mixed,50,broken;severe;agree3,Zone,3,capped by broken (<= 50),Trend,Broken,Upper,Severe,uncertain
SPY,1540,2024-02-15,Mixed,50,broken;severe;agree3,Zone,3,capped by broken (<= 50),Trend,Broken,Upper,Severe,uncertain
SPY,1580,2024-04-15,Mixed,50,severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Trend,Weak,Lower,Severe,uncertain
SPY,1600,2024-05-13,Mixed,50,severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Range,Weak,NearResistance,Severe,uncertain
SPY,1620,2024-06-11,Mixed,50,pricediscovery;severe;weakzone;agree3,Extension,2,capped by severe (<= 50),Range,Weak,Above,Severe,uncertain
SPY,1640,2024-07-11,Mixed,50,severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Trend,Weak,Upper,Severe,uncertain
SPY,1740,2024-12-02,Mixed,50,broken;pricediscovery;severe;agree3,Zone,3,capped by broken (<= 50),Trend,Broken,Above,Severe,uncertain
